Event Category, Event Name, Team Name, Participants, Start Time, End Time, Performance Time
literary,Creative Writing,YF-1, ,26 Oct - 11:33:05 am, 26 Oct - 1:30:26 pm,117:21

literary,Quiz,YF-1, ,27 Oct - 9:19:34 am, 27 Oct - 9:19:39 am,00:05
music,Classical Inst. (Percussion),YF-1, ,27 Oct - 10:00:47 am, 27 Oct - 10:00:49 am,00:01
music,Classical Inst. (Percussion),YF-1, ,27 Oct - 10:01:24 am, 27 Oct - 10:01:26 am,00:01
music,Classical Inst. (Percussion),YF-1, ,27 Oct - 10:03:02 am, 27 Oct - 10:03:03 am,00:01
music,Classical Inst. (Percussion),YF-1, ,27 Oct - 10:05:13 am, 27 Oct - 10:05:15 am,00:02
music,Classical Inst. (Percussion),YF-1, ,27 Oct - 10:10:04 am, 27 Oct - 10:10:06 am,00:01
music,Classical Inst. (Percussion),YF-1, ,27 Oct - 10:10:09 am, 27 Oct - 10:10:10 am,00:01
literary,Elocution,YF-4, ,27 Oct - 10:20:41 am, 27 Oct - 10:25:48 am,05:06
literary,Elocution,YF-7, ,27 Oct - 10:29:42 am, 27 Oct - 10:34:46 am,05:03
literary,Elocution,YF-1, ,27 Oct - 10:35:26 am, 27 Oct - 10:40:15 am,04:49
literary,Elocution,YF-2, ,27 Oct - 10:40:45 am, 27 Oct - 10:44:45 am,04:00
literary,Elocution,YF-3, ,27 Oct - 10:45:27 am, 27 Oct - 10:49:55 am,04:27
literary,Elocution,YF-5, ,27 Oct - 10:50:23 am, 27 Oct - 10:54:58 am,04:35
literary,Elocution,YF-6, ,27 Oct - 10:55:30 am, 27 Oct - 10:59:46 am,04:16
literary,Elocution,YF-8, ,27 Oct - 11:00:20 am, 27 Oct - 11:05:15 am,04:55
literary,Debate,YF-1, Participant-1,27 Oct - 11:25:39 am, 27 Oct - 11:29:58 am,04:19
literary,Debate,YF-1, Participant-2,27 Oct - 11:30:46 am, 27 Oct - 11:35:30 am,04:44
literary,Debate,YF-2, Participant-1,27 Oct - 11:36:08 am, 27 Oct - 11:41:08 am,04:59
literary,Debate,YF-2, Participant-2,27 Oct - 11:41:46 am, 27 Oct - 11:46:29 am,04:42
literary,Debate,YF-3, Participant-1,27 Oct - 11:47:33 am, 27 Oct - 11:51:49 am,04:15
literary,Debate,YF-3, Participant-2,27 Oct - 11:52:14 am, 27 Oct - 11:56:50 am,04:36
literary,Debate,YF-4, Participant-1,27 Oct - 11:59:22 am, 27 Oct - 12:03:40 pm,04:17
literary,Debate,YF-4, Participant-2,27 Oct - 12:03:55 pm, 27 Oct - 12:03:59 pm,00:03
literary,Debate,YF-4, Participant-2,27 Oct - 12:04:04 pm, 27 Oct - 12:06:28 pm,02:24
literary,Debate,YF-6, Participant-1,27 Oct - 12:06:58 pm, 27 Oct - 12:11:26 pm,04:27
literary,Debate,YF-6, Participant-2,27 Oct - 12:11:52 pm, 27 Oct - 12:16:52 pm,05:00
literary,Debate,YF-9, Participant-1,27 Oct - 12:17:22 pm, 27 Oct - 12:22:07 pm,04:44
literary,Debate,YF-9, Participant-2,27 Oct - 12:22:29 pm, 27 Oct - 12:26:37 pm,04:08
literary,Debate,YF-10, Participant-1,27 Oct - 12:27:33 pm, 27 Oct - 12:32:08 pm,04:34
literary,Debate,YF-10, Participant-2,27 Oct - 12:32:38 pm, 27 Oct - 12:35:34 pm,02:55
literary,Debate,YF-11, Participant-1,27 Oct - 12:36:43 pm, 27 Oct - 12:39:45 pm,03:01
literary,Debate,YF-11, Participant-2,27 Oct - 12:40:25 pm, 27 Oct - 12:43:19 pm,02:53
literary,Poem Recitation,YF-2, ,27 Oct - 1:21:25 pm, 27 Oct - 1:25:29 pm,04:04
literary,Poem Recitation,YF-4, ,27 Oct - 1:26:50 pm, 27 Oct - 1:28:55 pm,02:04
literary,Poem Recitation,YF-5, ,27 Oct - 1:29:17 pm, 27 Oct - 1:33:29 pm,04:12
literary,Poem Recitation,YF-6, ,27 Oct - 1:34:10 pm, 27 Oct - 1:37:45 pm,03:34
literary,Poem Recitation,YF-7, ,27 Oct - 1:38:10 pm, 27 Oct - 1:42:32 pm,04:22
literary,Poem Recitation,YF-8, ,27 Oct - 1:43:05 pm, 27 Oct - 1:47:16 pm,04:11
literary,Poem Recitation,YF-9, ,27 Oct - 1:48:11 pm, 27 Oct - 1:53:19 pm,05:07
literary,Poem Recitation,YF-10, ,27 Oct - 1:53:50 pm, 27 Oct - 1:57:32 pm,03:42
literary,Poem Recitation,YF-11, ,27 Oct - 1:58:41 pm, 27 Oct - 2:03:11 pm,04:29
literary,Poem Recitation,YF-12, ,27 Oct - 2:03:32 pm, 27 Oct - 2:08:26 pm,04:53
literary,Poem Recitation,YF-13, ,27 Oct - 2:09:38 pm, 27 Oct - 2:13:56 pm,04:18
music,Folk Orchestra,YF-1, ,7 Oct - 8:06:32 pm, 7 Oct - 8:06:35 pm,00:02
fineart,On The Spot Painting,YF-1, ,7 Oct - 8:26:26 pm, 7 Oct - 8:26:32 pm,00:05
music,Classical Inst. (Percussion),YF-1, ,7 Oct - 8:34:46 pm, 7 Oct - 8:34:49 pm,00:03
music,Classical Inst. (Percussion),YF-1, ,7 Oct - 9:15:23 pm, 7 Oct - 9:15:25 pm,00:01
music,Classical Inst. (Percussion),YF-1, ,7 Oct - 9:30:15 pm, 7 Oct - 9:30:18 pm,00:03
music,Classical Inst. (Non-Per),YF-1, ,11 Oct - 7:01:20 pm, 11 Oct - 7:01:25 pm,00:04
music,Classical Inst. (Non-Per),YF-1, ,11 Oct - 7:01:28 pm, 11 Oct - 7:01:30 pm,00:01
music,Classical Inst. (Non-Per),YF-1, ,11 Oct - 7:02:17 pm, 11 Oct - 7:02:23 pm,00:06
dance,Bhangra (Boys),YF-1, ,11 Oct - 7:02:42 pm, 11 Oct - 7:02:57 pm,00:14
dance,Bhangra (Boys),YF-1, ,11 Oct - 7:04:10 pm, 11 Oct - 7:04:13 pm,00:02
dance,Bhangra (Boys),YF-1, ,11 Oct - 7:04:17 pm, 11 Oct - 7:06:23 pm,02:06
dance,Bhangra (Boys),YF-1, ,11 Oct - 7:09:57 pm, 11 Oct - 7:10:00 pm,00:02
dance,Bhangra (Boys),YF-1, ,11 Oct - 7:10:44 pm, 11 Oct - 7:10:49 pm,00:04
dance,Bhangra (Boys),YF-1, ,11 Oct - 7:11:45 pm, 11 Oct - 7:12:50 pm,01:04
dance,Bhangra (Boys),YF-1, ,11 Oct - 7:13:31 pm, 11 Oct - 7:13:34 pm,00:03
dance,Bhangra (Boys),YF-1, ,11 Oct - 7:13:38 pm, 11 Oct - 7:14:43 pm,01:04
dance,Bhangra (Boys),YF-1, ,11 Oct - 7:16:35 pm, 11 Oct - 7:16:41 pm,00:05
dance,Bhangra (Boys),YF-1, ,11 Oct - 7:17:00 pm, 11 Oct - 7:17:04 pm,00:04
dance,Bhangra (Boys),YF-1, ,11 Oct - 7:20:04 pm, 11 Oct - 7:20:10 pm,00:05
dance,Bhangra (Boys),YF-1, ,11 Oct - 7:20:14 pm, 11 Oct - 7:20:17 pm,00:03
dance,Bhangra (Boys),YF-1, ,11 Oct - 7:24:58 pm, 11 Oct - 7:25:03 pm,00:04
dance,Bhangra (Boys),YF-1, ,11 Oct - 7:25:09 pm, 11 Oct - 7:25:18 pm,00:09
dance,Bhangra (Boys),YF-1, ,12 Oct - 8:06:45 pm, 12 Oct - 8:08:49 pm,02:04
dance,Giddha,YF-1, ,12 Oct - 8:15:19 pm, 12 Oct - 8:15:21 pm,00:02
music,Classical Inst. (Percussion),YF-1, ,12 Oct - 8:17:17 pm, 12 Oct - 8:17:19 pm,00:02
music,Classical Inst. (Percussion),YF-1, ,13 Oct - 6:49:24 pm, 13 Oct - 6:49:26 pm,00:02
dance,Bhangra (Boys),YF-1, ,13 Oct - 6:50:01 pm, 13 Oct - 6:50:08 pm,00:06
dance,Bhangra (Boys),YF-1, ,13 Oct - 6:50:17 pm, 13 Oct - 6:50:18 pm,00:01
dance,Bhangra (Boys),YF-1, ,13 Oct - 6:51:01 pm, 13 Oct - 6:51:04 pm,00:03
dance,Bhangra (Boys),YF-1, ,13 Oct - 6:51:49 pm, 13 Oct - 6:52:22 pm,00:32
dance,Bhangra (Boys),YF-1, ,13 Oct - 6:53:08 pm, 13 Oct - 6:53:40 pm,00:31
dance,Giddha,YF-1, ,14 Oct - 9:17:06 pm, 14 Oct - 9:17:09 pm,00:02
dance,Bhangra (Boys),YF-1, ,15 Oct - 12:56:33 pm, 15 Oct - 12:56:38 pm,00:05
dance,Bhangra (Boys),YF-2, ,15 Oct - 12:57:15 pm, 15 Oct - 12:57:17 pm,00:01
dance,Bhangra (Boys),YF-3, ,15 Oct - 12:57:25 pm, 15 Oct - 12:57:28 pm,00:02
dance,Bhangra (Boys),YF-4, ,15 Oct - 12:57:47 pm, 15 Oct - 12:57:49 pm,00:02
dance,Bhangra (Boys),YF-1, ,15 Oct - 12:58:20 pm, 15 Oct - 1:10:21 pm,08:37
dance,Bhangra (Boys),YF-1, ,15 Oct - 8:31:39 pm, 15 Oct - 8:31:41 pm,00:02
dance,Giddha,YF-1, ,15 Oct - 8:32:14 pm, 15 Oct - 8:32:17 pm,00:03
dance,Giddha,YF-1, ,15 Oct - 8:33:30 pm, 15 Oct - 8:33:32 pm,00:01
music,Classical Inst. (Percussion),YF-1, ,16 Oct - 9:20:38 pm, 16 Oct - 9:20:44 pm,00:05
music,Classical Inst. (Percussion),YF-1, ,16 Oct - 9:21:10 pm, 16 Oct - 9:23:17 pm,02:06
dance,Giddha,YF-1, ,16 Oct - 10:11:03 pm, 16 Oct - 10:11:05 pm,00:01
dance,Giddha,YF-1, ,17 Oct - 8:53:16 am, 17 Oct - 8:53:18 am,00:02
music,Classical Inst. (Percussion),YF-1, ,17 Oct - 9:24:53 am, 17 Oct - 9:25:04 am,00:11
music,Classical Inst. (Percussion),YF-1, ,17 Oct - 9:25:19 am, 17 Oct - 9:27:40 am,02:20